model,Computation_complete,Computation_instruct,Cryptography_complete,Cryptography_instruct,General_complete,General_instruct,Network_complete,Network_instruct,System_complete,System_instruct,Time_complete,Time_instruct,Visualization_complete,Visualization_instruct
ReflectionCoder-CL-7B,39.6,25.9,40.4,30.3,42.0,31.0,23.6,17.1,41.1,29.9,33.1,19.1,34.0,22.8
ReflectionCoder-DS-33B,53.3,42.3,54.5,52.5,55.3,45.9,27.9,22.1,50.3,42.3,45.6,29.4,47.2,37.6
ReflectionCoder-DS-6.7B,47.9,34.6,45.5,49.5,48.3,39.8,31.4,22.1,46.3,38.1,42.6,30.9,43.7,30.7
Sky-T1-32B-Flash,51.9,44.1,51.5,54.5,54.7,50.9,40.0,29.3,46.9,41.8,39.7,32.4,45.4,38.8
Sky-T1-32B-Preview,51.4,44.3,53.5,54.5,54.4,50.5,37.9,25.7,48.6,43.2,42.6,35.3,45.2,38.1
StarCoder2-15B,37.6,,54.5,,38.4,,28.6,,37.6,,36.0,,29.9,
StarCoder2-15B-Instruct-v0.1,44.0,35.5,49.5,39.4,46.5,42.1,30.0,22.1,46.3,38.8,39.0,34.6,35.0,28.7
StarCoder2-3B,20.5,,27.3,,19.5,,18.6,,26.4,,19.1,,18.3,
StarCoder2-7B,26.2,,34.3,,25.4,,26.4,,31.1,,22.8,,22.3,
Tess-v2.5.2-Qwen2-72B,48.3,37.1,38.4,36.4,48.5,39.1,15.7,15.0,41.3,36.9,34.6,27.2,45.2,34.3
WarriorCoder-6.7B (Reproduced),,38.8,,45.5,,45.2,,22.9,,36.4,,32.4,,34.5
WaveCoder-Ultra-6.7B,45.0,31.9,49.5,34.3,42.7,40.0,20.7,13.6,42.8,32.9,30.1,31.6,39.8,27.7
WhiteRabbitNeo-33B-v1.5,53.5,41.1,57.6,52.5,56.7,45.7,25.0,17.1,47.6,39.7,37.5,33.8,48.7,37.6
Yi-1.5-34B,37.2,,48.5,,42.9,,26.4,,38.1,,34.6,,33.8,
Yi-1.5-34B-Chat,43.7,33.7,44.4,37.4,45.7,36.9,28.6,20.7,40.6,28.7,36.8,18.4,37.3,31.7
Yi-1.5-6B,25.2,,43.4,,28.6,,15.0,,28.3,,23.5,,22.6,
Yi-1.5-6B-Chat,31.9,22.7,41.4,24.2,36.2,30.0,20.7,15.0,33.6,27.1,30.9,16.9,24.9,18.0
Yi-1.5-9B,34.0,,45.5,,38.4,,27.1,,34.3,,30.1,,28.7,
Yi-1.5-9B-Chat,42.9,32.1,48.5,46.5,41.3,38.8,31.4,23.6,41.3,33.2,36.0,27.2,35.0,27.9
Yi-Coder-9B-Chat,50.0,36.9,44.4,24.2,53.8,43.0,25.7,29.3,43.5,37.9,33.8,26.5,46.2,32.2
Yi-Large,47.0,36.9,40.4,45.5,53.8,42.7,18.6,17.1,41.4,35.5,36.8,30.1,40.9,32.5
