model,IFEval,BBH,MATH_Lvl5,GPQA,MUSR,MMLU-PRO
Amaorynho/BBAI2006,0.09796672828096119,0.2671411213331019,0.0,0.2525167785234899,0.35978835978835977,0.11228390957446809
Amaorynho/BBAI270V4,0.133086876155268,0.3041138691199445,0.008308157099697885,0.24580536912751677,0.3306878306878307,0.11136968085106383
Amaorynho/BBAIIFEV1,0.7689463955637708,0.5280333275473008,0.1933534743202417,0.3104026845637584,0.41798941798941797,0.3857214095744681
Amaorynho/BBAI_375,0.09796672828096119,0.2671411213331019,0.0,0.2525167785234899,0.35978835978835977,0.11228390957446809
Amu/t1-1.5B,0.2698706099815157,0.39802117687901406,0.0513595166163142,0.24328859060402686,0.3505291005291005,0.2566489361702128
Amu/t1-3B,0.2698706099815157,0.39645894809928833,0.13746223564954682,0.2407718120805369,0.3425925925925926,0.12840757978723405
ArliAI/ArliAI-RPMax-12B-v1.1,0.47504621072088726,0.47335532025689986,0.11253776435045318,0.28187919463087246,0.3611111111111111,0.3384308510638298
ArliAI/Llama-3.1-8B-ArliAI-RPMax-v1.1,0.5859519408502772,0.4997396285367124,0.13141993957703926,0.2835570469798658,0.35714285714285715,0.35513630319148937
Arthur-LAGACHERIE/Precis-1B-Instruct,0.30129390018484287,0.3195625759416768,0.0037764350453172208,0.26593959731543626,0.3425925925925926,0.14261968085106383
Artples/L-MChat-7b,0.4658040665434381,0.45842735636174275,0.09214501510574018,0.3053691275167785,0.4021164021164021,0.3298703457446808
Artples/L-MChat-Small,0.25693160813308685,0.4789099114737025,0.0377643504531722,0.2676174496644295,0.36904761904761907,0.24642619680851063
Aryanne/QwentileSwap,0.6987060998151571,0.6979691025863566,0.42220543806646527,0.3674496644295302,0.46296296296296297,0.5945811170212766
Aryanne/SHBA,0.7467652495378928,0.5210900885262976,0.1797583081570997,0.3053691275167785,0.41534391534391535,0.3892121010638298
Aryanne/SuperHeart,0.44731977818853974,0.5191806977955216,0.15634441087613293,0.3011744966442953,0.44312169312169314,0.3912067819148936
AtAndDev/Qwen2.5-1.5B-continuous-learnt,0.39371534195933455,0.42371116125672625,0.1472809667673716,0.2701342281879195,0.3611111111111111,0.28058510638297873
Ateron/Glowing-Forest-12B,0.29390018484288355,0.5469536538795348,0.07779456193353475,0.33305369127516776,0.4444444444444444,0.37175864361702127
Ateron/Lotus-Magpic,0.5785582255083179,0.5226523173060232,0.09969788519637462,0.3028523489932886,0.43253968253968256,0.3490691489361702
Ateron/Way_of_MagPicaro,0.19408502772643252,0.5401839958340566,0.05891238670694864,0.3338926174496644,0.4642857142857143,0.35355718085106386
AuraIndustries/Aura-4B,0.30868761552680224,0.44697101197708733,0.04229607250755287,0.287751677852349,0.39285714285714285,0.27061170212765956
AuraIndustries/Aura-8B,0.6820702402957486,0.5108488109703176,0.15181268882175228,0.2860738255033557,0.3994708994708995,0.38738364361702127
AuraIndustries/Aura-MoE-2x4B-v2,0.4195933456561922,0.4292657524735289,0.03172205438066465,0.287751677852349,0.4087301587301587,0.2609707446808511
AuraIndustries/Aura-MoE-2x4B,0.3974121996303142,0.4322166290574553,0.030966767371601207,0.27181208053691275,0.4074074074074074,0.26496010638297873
Aurel9/testmerge-7b,0.32717190388170053,0.5151883353584447,0.06570996978851963,0.30033557046979864,0.4656084656084656,0.3052692819148936
Ayush-Singh/Llama1B-sft-2,0.09981515711645102,0.2808540183995834,0.0,0.24580536912751677,0.3544973544973545,0.11170212765957446
Azure99/Blossom-V6-14B,0.589648798521257,0.5023433431695886,0.525679758308157,0.2625838926174497,0.4021164021164021,0.4543716755319149
Azure99/Blossom-V6-7B,0.5009242144177449,0.4954001041485853,0.45845921450151056,0.30453020134228187,0.42857142857142855,0.41439494680851063
Azure99/blossom-v5-32b,0.4787430683918669,0.5931261933692067,0.1865558912386707,0.311241610738255,0.4007936507936508,0.4234541223404255
Azure99/blossom-v5-llama3-8b,0.3733826247689464,0.4155528554070474,0.0513595166163142,0.2651006711409396,0.3664021164021164,0.2205784574468085
Azure99/blossom-v5.1-34b,0.5194085027726433,0.608227738239889,0.2590634441087613,0.30956375838926176,0.3915343915343915,0.4557845744680851
Azure99/blossom-v5.1-9b,0.4584103512014787,0.5318521090088526,0.2122356495468278,0.33557046979865773,0.39814814814814814,0.39793882978723405
BAAI/Gemma2-9B-IT-Simpo-Infinity-Preference,0.3031423290203327,0.5971185558062836,0.09743202416918428,0.33976510067114096,0.3955026455026455,0.3868849734042553
BAAI/Infinity-Instruct-3M-0613-Llama3-70B,0.634011090573013,0.6625585835792397,0.21525679758308158,0.35822147651006714,0.45105820105820105,0.47298869680851063
BAAI/Infinity-Instruct-3M-0613-Mistral-7B,0.4824399260628466,0.49418503731990976,0.08157099697885196,0.2961409395973154,0.43386243386243384,0.31607380319148937
BAAI/Infinity-Instruct-3M-0625-Llama3-70B,0.7042513863216266,0.6639472313834404,0.22507552870090636,0.3573825503355705,0.4603174603174603,0.4586103723404255
BAAI/Infinity-Instruct-3M-0625-Llama3-8B,0.5637707948243993,0.49210206561360875,0.08836858006042296,0.2751677852348993,0.37037037037037035,0.3252160904255319
BAAI/Infinity-Instruct-3M-0625-Mistral-7B,0.5415896487985212,0.4914077417115084,0.07628398791540786,0.28691275167785235,0.42592592592592593,0.3229720744680851
